HOBO,Plot #,Centerline Distance,X,Y,Elevation,Seedling Type,Canopy Cover,Camera #
6279,2,118,567080.8703,4902745.407,1318.508545,TSHE,89,
6280,2,135,567072.1,4902760,1313.9,,,
6283,2,119.4,567080.3473,4902746.537,1318.586426,ABAM,88,
6284,2,114.2,567082.6399,4902742.223,1319.344116,,89.75,10
6285,2,31,567124.9089,4902671.515,1327.520264,,86.25,
6295,2,60,567123.07,4902683.31,1331.5617,ABAM,87.75,5/11
6296,2,76.1,567102.3727,4902709.829,1335.957398,ABAM,94,
6297,2,142,567066.761,4902767.973,1312.2282,,94,
9150,2,34,567123.6,4902673.9,1327.9123,ABAM,,
9151,2,141,567067.2301,4902766.712,1312.8763,,,
9152,2,35.6,567123.3399,4902674.685,1328.341187,,80.5,
9153,2,119,567081.2194,4902745.743,1319.084961,ABAM,88,
9168,2,115.6,567082.3915,4902743.189,1319.524536,TSHE,88.5,10
9169,2,117.5,567081.9139,4902744.51,1319.015991,,88.5,10
9170,2,112,567082.6399,4902742.223,1319.3441,,,10
9171,2,5.2,567138.6759,4902649.127,1318.165894,ABAM,89,
9172,2,113,567082.6399,4902742.223,1319.3441,,,10
9173,2,71.2,567104.478,4902707.243,1336.1782,,,
9174,2,40,567121.0052,4902678.262,1325.653565,,74,
9175,2,49.1,567115.9199,4902686.522,1326.937378,,80.75,
9176,2,Not on Plot,567635.87,4902488.75,,,,4
9177,2,47.6,567117.1,4902685.1,1326.1217,,,
9178,2,60,567123.07,4902683.31,1331.5617,,,5/11
9179,2,133.2,567073.2758,4902758.454,1314.528687,TSHE,90.5,
9180,2,60,567123.07,4902683.31,1331.5617,,80,5/11
9181,2,78.1,567102.3727,4902709.829,1335.957398,,,
9182,2,109,567086.2211,4902737.3,1323.928101,,88.5,10
9183,2,65,567114.324,490293.12,1333.975,,,
9184,2,69.5,567106.0128,4902703.981,1336.330444,,,
9185,2,13,567134.5906,4902656.067,1319.640991,ABAM,87.5,
9186,2,Not on Plot,567635.87,4902488.75,,,,4
9187,2,137,567070.9896,4902761.958,1313.291504,,92,
9188,2,31,567124.9089,4902671.515,1327.520264,,,
650,3,55,568157.0953,4901224.794,1287.553101,ABAM,80,
6264,3,14.2,568195.0379,4901234.24,1298.962891,,,
6270,3,80,568135.248,4901220.505,1283.243652,ABAM,91.5,
6281,3,81,568134.9105,4901220.079,1283.0912,,,
6282,3,Not on Plot,568079.29,4901293.62,,,88.5,3
6287,3,81.3,568134.8407,4901220.021,1282.987,,,
6298,3,Not on Plot,568079.29,4901293.62,,,88.75,3
6302,3,12,568196.8434,4901235.252,1299.665772,TSHE,96.75,
6305,3,71.6,568141.4049,4901222.297,1285.745483,,82.5,
6306,3,13.85,568195.1958,4901234.524,1298.962891,ABAM,96,
6314,3,74.9,568136.5872,4901221.412,1285.668823,,80.5,
6315,3,67,568145.5498,4901223.893,1285.695068,ABAM,83,
6319,3,84,568131.0983,4901217.124,1282.6781,,,
9130,3,69.5,568143.4607,4901222.297,1284.175415,TSHE,71.25,
9144,3,76.6,568136.1712,4901220.957,1284.166992,ABAM,91.25,
9145,3,23.8,568185.9552,4901232.296,1297.151489,,86,
9161,3,79,568135.527,4901220.97,1283.7672,,,
6274,4,105.25,570220.0669,4894916.437,1385.515259,,,
6291,4,46.6,570177.3467,4894872.579,1391.9765,,,
6292,4,91.81,570210.5717,4894907.392,1384.555786,,37.5,
6293,4,14.9,570159.1982,4894856.626,1383.411133,,91.25,
6300,4,Not on Plot,570095.16,4894926.35,,,,8
6316,4,58.95,570186.176,4894882.229,1395.167358,ABAM,44.5,
6323,4,Not on Plot,570095.16,4894926.35,,,,8
9131,4,45,570176.9805,4894872.261,1391.656006,ABAM,92.25,
9139,4,29.1,570168.0126,4894864.529,1385.692505,ABAM,91.75,
9146,4,1.4,570150.3844,4894848.849,1381.107422,,92.5,
9155,4,20,570162.1987,4894859.976,1384.0175,ABAM,,
9305,4,61.6,570187.5475,4894882.591,1395.090088,TSHE,60,
6262,5,Not on Plot,568785.73,4894824.75,,,,6
6265,5,1,565203.07,4895909.02,1257.4819,,87,7
6266,5,44.6,565147.9263,4895916.596,1245.322266,,78,
6267,5,1,565203.07,4895909.02,1257.4819,,,7
6268,5,48,565152.1033,4895915.079,1243.938599,,,
6269,5,Not on Plot,,,,,,
6276,5,Not on Plot,,,,,,
6277,5,33.3,565137.5055,4895916.684,1248.200073,ABAM,86,
6278,5,63.3,565165.37,4895914.667,1241.232056,TSHE,77.5,
6288,5,30,565134.2097,4895917.48,1250.6743,,,12
6294,5,1,565203.07,4895909.02,1257.4819,,88.25,7
6304,5,68.5,565169.9369,4895913.173,1241.420654,,70,
6307,5,87.5,565187.2209,4895913.469,1235.302612,,85.5,
6320,5,55.2,565157.832,4895916.015,1242.759399,,79.75,12
6321,5,26,565130.1679,4895917.994,1252.9965,,,
9126,5,98.2,565198.0217,4895912.128,1230.666382,TSHE,92.75,
9127,5,49.2,565152.1033,4895915.079,1243.938599,ABAM,81,
9128,5,59.9,565162.1538,4895915.026,1241.863525,ABAM,85.75,12
9133,5,Not on Plot,568785.73,4894824.75,,,,6
9135,5,15,565120.8638,4895919.119,1254.092896,TSHE,80.5,
9140,5,18.6,565124.1618,4895918.832,1253.979614,TSHE,97,
9142,5,23.4,565128.5368,4895918.26,1253.381714,,62.5,
9159,5,58,565159.9754,4895915.463,1242.0891,,,
9162,5,56.4,565158.9206,4895915.609,1242.360474,ABAM,80.5,12
6271,6,18,569179.6303,4899950.261,1285.874146,TSHE,94.75,13
6272,6,Not on Plot,568932.42,4899875.09,,ABAM,,2
6275,6,Not on Plot,569124.04,4899876,,ABAM,,1
6301,6,53,569207.3486,4899960.303,1302.673462,TSHE,,
6303,6,40,569197.7702,4899956.439,1296.183,,,
6311,6,70,569219.1073,4899961.979,1310.7941,,,
6318,6,5.8,569167.5918,4899947.941,1277.970703,TSHE,99,
6322,6,Not on Plot,568932.42,4899875.09,,,,2
9129,6,16.6,569177.0924,4899949.26,1284.345703,ABAM,93.25,13
9143,6,18.2,569178.2987,4899950.118,1284.859375,TSHE,95,13
9147,6,Not on Plot,569124.04,4899876,,TSHE,,1
9149,6,38,569196.3589,4899955.553,1295.640259,TSHE,,
9156,6,21.3,569181.0248,4899950.215,1286.292603,ABAM,90.5,
9160,6,22,569181.6735,4899950.594,1286.4957,TSHE,,
9163,6,69,569218.1716,4899961.501,1310.255737,TSHE,,
9165,6,8.2,569169.7893,4899947.951,1279.004273,TSHE,91,
9166,6,76,569225.5299,4899964.447,1315.081299,TSHE,,
6263,Cenmet,Not on Plot,,,,,,
6308,Cenmet,Not on Plot,,,,,,
6290,Landscape,Not on Plot,,,,,,
6299,Landscape,Not on Plot,,,,,,
6310,Landscape,Not on Plot,,,,,,
6313,Landscape,Not on Plot,,,,,,
6317,Landscape,Not on Plot,,,,,,
9132,Landscape,Not on Plot,,,,,,
9134,Landscape,Not on Plot,,,,,,
9136,Landscape,Not on Plot,,,,,,
9141,Landscape,Not on Plot,,,,,,
9148,Landscape,Not on Plot,,,,,,
9154,Landscape,Not on Plot,,,,,,
9137,Primet,Not on Plot,,,,,,
9167,Primet,Not on Plot,,,,,,
6273,Uplomet,Not on Plot,,,,,,
9164,Uplomet,Not on Plot,,,,,,
6286,Vanmet,Not on Plot,,,,,,
9138,Vanmet,Not on Plot,,,,,,
6312,Vara,Not on Plot,,,,,,
9157,Vara,Not on Plot,,,,,,
